model,rank,regParam,precision,ndcg
als,5,0.01,5.942986945238679E-7,9.506408741392483E-7
als,5,0.1,2.509261154656329E-6,3.1404643714194396E-6
als,5,1.0,1.9149624601324637E-6,2.9157297370552745E-6
als,10,0.01,1.5187633304498848E-6,1.8385996117705556E-6
als,10,0.1,7.692866434670065E-6,5.7603356650123704E-5
als,10,1.0,1.9149624601324637E-6,2.9060510063847786E-6
als,20,0.01,1.9809956484128926E-6,3.448348395007029E-6
als,20,0.1,1.9347724166165913E-5,1.6996348057331506E-4
als,20,1.0,1.914962460132464E-6,2.9260408368807164E-6
